id,time,input_type,input_value
1,Mar 13 2021 035037,iv,mpg
1,Mar 13 2021 035037,dv,disp
1,Mar 13 2021 035037,mod,qsec
1,Mar 13 2021 035037,medi,qsec
1,Mar 13 2021 035037,sidebar_menu,exploratory_analysis
1,Mar 13 2021 035037,sigfig,3
2,Mar 13 2021 035044,var,hp
2,Mar 13 2021 035044,sidebar_menu,desc_stats
2,Mar 13 2021 035044,sigfig,3
3,Mar 13 2021 035055,var,disp
3,Mar 13 2021 035055,sidebar_menu,freq_table
3,Mar 13 2021 035055,sigfig,3
4,Mar 13 2021 035059,var,drat
4,Mar 13 2021 035059,sidebar_menu,histogram
4,Mar 13 2021 035059,sigfig,3
5,Mar 13 2021 035104,iv,disp
5,Mar 13 2021 035104,dv,wt
5,Mar 13 2021 035104,sidebar_menu,scatterplot
5,Mar 13 2021 035104,sigfig,3
6,Mar 13 2021 035111,iv,disp
6,Mar 13 2021 035111,dv,cyl
6,Mar 13 2021 035111,sidebar_menu,compare_groups
6,Mar 13 2021 035111,sigfig,3
7,Mar 13 2021 035114,iv,am
7,Mar 13 2021 035114,dv,cyl
7,Mar 13 2021 035114,iv_order,0
7,Mar 13 2021 035114,iv_order,1
7,Mar 13 2021 035114,sidebar_menu,compare_groups
7,Mar 13 2021 035114,sigfig,3
8,Mar 13 2021 035122,iv,am
8,Mar 13 2021 035122,dv,cyl
8,Mar 13 2021 035122,iv_order,1
8,Mar 13 2021 035122,iv_order,0
8,Mar 13 2021 035122,sidebar_menu,compare_groups
8,Mar 13 2021 035122,sigfig,3
9,Mar 13 2021 035129,iv,cyl
9,Mar 13 2021 035129,dv,mpg
9,Mar 13 2021 035129,sidebar_menu,regression
9,Mar 13 2021 035129,sigfig,3
10,Mar 13 2021 035133,iv,cyl
10,Mar 13 2021 035133,dv,mpg
10,Mar 13 2021 035133,interact_vars_2_way_1,drat
10,Mar 13 2021 035133,interact_vars_2_way_1,qsec
10,Mar 13 2021 035133,sidebar_menu,regression
10,Mar 13 2021 035133,sigfig,3
11,Mar 13 2021 035137,iv,cyl
11,Mar 13 2021 035137,dv,mpg
11,Mar 13 2021 035137,interact_vars_2_way_1,drat
11,Mar 13 2021 035137,interact_vars_2_way_1,qsec
11,Mar 13 2021 035137,interact_vars_2_way_2,qsec
11,Mar 13 2021 035137,interact_vars_2_way_2,vs
11,Mar 13 2021 035137,sidebar_menu,regression
11,Mar 13 2021 035137,sigfig,3
12,Mar 13 2021 035142,iv,cyl
12,Mar 13 2021 035142,dv,mpg
12,Mar 13 2021 035142,interact_vars_2_way_1,drat
12,Mar 13 2021 035142,interact_vars_2_way_1,qsec
12,Mar 13 2021 035142,interact_vars_2_way_2,qsec
12,Mar 13 2021 035142,interact_vars_2_way_2,vs
12,Mar 13 2021 035142,interact_vars_3_way,drat
12,Mar 13 2021 035142,interact_vars_3_way,wt
12,Mar 13 2021 035142,interact_vars_3_way,qsec
12,Mar 13 2021 035142,sidebar_menu,regression
12,Mar 13 2021 035142,sigfig,3
13,Mar 13 2021 035147,sidebar_menu,view_data
13,Mar 13 2021 035147,sigfig,3
